"roundNumber","events__matchID","events__timeLive","events__homeTeam__name","events__homeTeam__teamID","events__awayTeam__name","events__awayTeam__teamID","events__homeScore","events__awayScore","events__startTime","events__startTimestamp"
"1","F30A21","FT","Manchester United","4273D","Leicester City","42735","2","1","2018-08-10T19:00:00Z","1533927600"
"","F30A2F","FT","Newcastle United","42745","Tottenham","42739","1","2","2018-08-11T11:30:00Z","1533987000"
"","F30A23","FT","Bournemouth","4276F","Cardiff City","42771","2","0","2018-08-11T14:00:00Z","1533996000"
"","F30A29","FT","Fulham","4274D","Crystal Palace","42705","0","2","2018-08-11T14:00:00Z","1533996000"
"","F30A27","FT","Huddersfield Town","4276D","Chelsea","42743","0","3","2018-08-11T14:00:00Z","1533996000"
"","F30A2D","FT","Watford","42727","Brighton & Hove Albion","42733","2","0","2018-08-11T14:00:00Z","1533996000"
"","F30A33","FT","Wolverhampton","426FD","Everton","42757","2","2","2018-08-11T16:30:00Z","1534005000"
"","F30A25","FT","Liverpool","4274F","West Ham United","42741","4","0","2018-08-12T12:30:00Z","1534077000"
"","F30A31","FT","Southampton","42751","Burnley","42703","0","0","2018-08-12T12:30:00Z","1534077000"
"","F30A2B","FT","Arsenal","4274B","Manchester City","42719","0","2","2018-08-12T15:00:00Z","1534086000"
"2","F30A6B","FT","Cardiff City","42771","Newcastle United","42745","0","0","2018-08-18T11:30:00Z","1534591800"
"","F30A65","FT","Everton","42757","Southampton","42751","2","1","2018-08-18T14:00:00Z","1534600800"
"","F30A6D","FT","Leicester City","42735","Wolverhampton","426FD","2","0","2018-08-18T14:00:00Z","1534600800"
"","F30A75","FT","Tottenham","42739","Fulham","4274D","3","1","2018-08-18T14:00:00Z","1534600800"
"","F30A81","FT","West Ham United","42741","Bournemouth","4276F","1","2","2018-08-18T14:00:00Z","1534600800"
"","F30A6F","FT","Chelsea","42743","Arsenal","4274B","3","2","2018-08-18T16:30:00Z","1534609800"
"","F30A69","FT","Burnley","42703","Watford","42727","1","3","2018-08-19T12:30:00Z","1534681800"
"","F30A73","FT","Manchester City","42719","Huddersfield Town","4276D","6","1","2018-08-19T12:30:00Z","1534681800"
"","F30A67","FT","Brighton & Hove Albion","42733","Manchester United","4273D","3","2","2018-08-19T15:00:00Z","1534690800"
"","F30A71","FT","Crystal Palace","42705","Liverpool","4274F","0","2","2018-08-20T19:00:00Z","1534791600"
"3","F30A97","FT","Wolverhampton","426FD","Manchester City","42719","1","1","2018-08-25T11:30:00Z","1535196600"
"","F30A79","FT","Arsenal","4274B","West Ham United","42741","3","1","2018-08-25T14:00:00Z","1535205600"
