"teamName","teamID","positionOverall","positionAtHome","positionAtAway","pointsOverall","pointsAtHome","pointsAtAway","playedTotal","winTotal","drawTotal","lossTotal","goalsForTotal","goalsAgainstTotal","goalDifferenceTotal","playedHome","winHome","drawHome","lossHome","goalsForHome","goalsAgainstHome","goalDifferenceHome","playedAway","winAway","drawAway","lossAway","goalsForAway","goalsAgainstAway","goalDifferenceAway"
"Liverpool","4274F","1","2","1","94","50","44","37","29","7","1","87","22","+65","18","16","2","0","53","10","+43","19","13","5","1","34","12","+22"
"Manchester City","42719","2","1","2","92","51","41","36","30","2","4","90","22","+68","18","17","0","1","56","12","+44","18","13","2","3","34","10","+24"
"Chelsea","42743","3","4","6","71","42","29","37","21","8","8","63","39","+24","19","12","6","1","39","12","+27","18","9","2","7","24","27","-3"
"Tottenham","42739","4","5","3","70","37","33","37","23","1","13","65","37","+28","18","12","1","5","32","14","+18","19","11","0","8","33","23","+10"
"Arsenal","4274B","5","3","10","67","45","22","37","20","7","10","70","50","+20","19","14","3","2","42","16","+26","18","6","4","8","28","34","-6"
"Manchester United","4273D","6","6","4","66","36","30","37","19","9","9","65","52","+13","18","10","6","2","33","23","+10","19","9","3","7","32","29","+3"
"Wolverhampton","426FD","7","8","8","57","34","23","37","16","9","12","47","44","+3","19","10","4","5","28","21","+7","18","6","5","7","19","23","-4"
"Everton","42757","8","7","11","53","34","19","37","15","8","14","52","44","+8","19","10","4","5","30","21","+9","18","5","4","9","22","23","-1"
"Leicester City","42735","9","12","7","51","26","25","36","15","6","15","51","47","+4","18","8","2","8","24","20","+4","18","7","4","7","27","27","0"
"Watford","42727","10","11","9","50","27","23","37","14","8","15","51","55","-4","18","8","3","7","25","24","+1","19","6","5","8","26","31","-5"
"West Ham United","42741","11","9","12","49","31","18","37","14","7","16","48","54","-6","19","9","4","6","32","27","+5","18","5","3","10","16","27","-11"
"Crystal Palace","42705","12","19","5","46","17","29","37","13","7","17","46","50","-4","18","4","5","9","14","20","-6","19","9","2","8","32","30","+2"
"Bournemouth","4276F","13","10","15","45","29","16","37","13","6","18","53","65","-12","19","8","5","6","30","25","+5","18","5","1","12","23","40","-17"
"Newcastle United","42745","14","13","13","42","25","17","37","11","9","17","38","48","-10","19","8","1","10","24","25","-1","18","3","8","7","14","23","-9"
"Burnley","42703","15","14","14","40","23","17","37","11","7","19","44","65","-21","18","7","2","9","23","29","-6","19","4","5","10","21","36","-15"
"Southampton","42751","16","16","16","38","22","16","37","9","11","17","44","64","-20","18","5","7","6","26","29","-3","19","4","4","11","18","35","-17"
"Brighton & Hove Albion","42733","17","15","17","36","23","13","37","9","9","19","34","56","-22","18","6","5","7","18","24","-6","19","3","4","12","16","32","-16"
"Cardiff City","42771","18","18","18","31","20","11","37","9","4","24","32","69","-37","19","6","2","11","21","38","-17","18","3","2","13","11","31","-20"
"Fulham","4274D","19","17","20","26","21","5","37","7","5","25","34","77","-43","18","6","3","9","22","32","-10","19","1","2","16","12","45","-33"
"Huddersfield Town","4276D","20","20","19","15","9","6","37","3","6","28","21","75","-54","19","2","3","14","10","31","-21","18","1","3","14","11","44","-33"
